cui,cueanexo,cue,anexo,sector,dom_edific,dom_establ,nombre_est,nombre_abr,codpost,nivmod,nivelmodal,tipest_abr,tipest,depfun,depfun_otr,de,comuna,barrio,area_progr,estado,point_x,point_y,wkt,Nivel
200356,20135300,201353,0,1,Avda. Rivadavia 6065,Avda. Rivadavia 6065,Esc. Primaria Común N° 04 Presidente Dr. Arturo Umberto Illia,EPjs 04,C1406,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,1,7,6,CABALLITO,06 - HOSP PIÑERO,1,101046.1842,100600.3071,#N/A,Primario Común
200357,20084804,200848,4,1,Manuel Ricardo Trelles 948,Manuel Ricardo Trelles 948,Jardín de Infantes Nucleado C (EPCjc 05/07°),JIN C-04 (05),C1406,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,1,7,7,FLORES,01 - HOSP ALVAREZ,1,100234.2082,101545.3413,#N/A,Inicial Común
200357,20013900,200139,0,1,Manuel Ricardo Trelles 948,Manuel Ricardo Trelles 948,Esc. Primaria Común N° 05 Juan B. Peña,EPjc 05,C1406,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,7,7,FLORES,01 - HOSP ALVAREZ,1,100234.2082,101545.3413,#N/A,Primario Común
200858,20195000,201950,0,1,Portela 3150,Portela 3150,Esc. de Música N° 04,EMus 04,C1437,OSECom,Otros Servicios Educativos de la modalidad Común,EMP,Escuela de Música -Primarias-,Dirección de Educación Primaria,1,19,8,VILLA SOLDATI,06 - HOSP PIÑERO,1,101819.0235,96413.27401,#N/A,Otros Servicios Educativos de la modalidad Común
200358,20068900,200689,0,1,Olaya 1565,Olaya 1565,Esc. Primaria Común N° 06 Delfín Jijena,EPjs 06,C1414,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,1,7,15,VILLA CRESPO,03 - HOSP DURAND,1,101503.2927,102971.2881,#N/A,Primario Común
200359,20127300,201273,0,1,Cnel. Apolinario Figueroa 1077,Espinosa 1243,Jardín de Infantes Común N° 04/07°,JIC 04/07,C1416,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,1,7,6,CABALLITO,01 - HOSP ALVAREZ,1,100906.1012,102284.4645,#N/A,Inicial Común
200359,20088200,200882,0,1,Cnel. Apolinario Figueroa 1077,Cnel. Apolinario Figueroa 1077,Esc. Primaria Común N° 08 Provincia de San Juan,EPjs 08,C1416,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,1,7,6,CABALLITO,01 - HOSP ALVAREZ,1,100906.1012,102284.4645,#N/A,Primario Común
200360,20084803,200848,3,1,Sánchez 1858,Sánchez 1858,Jardín de Infantes Nucleado C (EPCjc 09/07°),JIN C-03 (09),C1416,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,1,7,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,1,99721.23887,102514.363,#N/A,Inicial Común
200360,20087800,200878,0,1,Sánchez 1858,Sánchez 1858,Esc. Primaria Común N° 09 Japón,EPjc 09,C1416,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,7,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,1,99721.23887,102514.363,#N/A,Primario Común
200361,20087903,200879,3,1,Nicasio Oroño 1431,Nicasio Oroño 1431,Jardín de Infantes Nucleado D (EPCjc 11/07°),JIN D-03 (11),C1416,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,1,7,6,CABALLITO,01 - HOSP ALVAREZ,1,100417.2439,102311.3336,#N/A,Inicial Común
200361,20088000,200880,0,1,Nicasio Oroño 1431,Nicasio Oroño 1431,Esc. Primaria Común N° 11 José Ignacio Gorriti,EPjc 11,C1416,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,7,6,CABALLITO,01 - HOSP ALVAREZ,1,100417.2439,102311.3336,#N/A,Primario Común
200362,20084800,200848,0,1,Franklin 1836,Franklin 1836,Jardín de Infantes Nucleado C (EPCjc 12/07°) [Sede],JIN C-00 (12),C1406,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,1,7,7,FLORES,01 - HOSP ALVAREZ,1,100185.209,101588.3433,#N/A,Inicial Común
200362,20084600,200846,0,1,Franklin 1836,Franklin 1836,Esc. Primaria Común N° 12 Facundo Zuviria,EPjc 12,C1406,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,7,7,FLORES,01 - HOSP ALVAREZ,1,100185.209,101588.3433,#N/A,Primario Común
200362,20216000,202160,0,1,Franklin 1836,Franklin 1836,Centro Educativo Complementario de Idiomas Extranjeros N° 07,CECIE 07,C1406,OSECom,Otros Servicios Educativos de la modalidad Común,CECDIE,Centro Educativo Complementario de Idioma Extranjero,Dirección de Educación Primaria,1,7,7,FLORES,01 - HOSP ALVAREZ,1,100185.209,101588.3433,#N/A,Otros Servicios Educativos de la modalidad Común
200363,20084802,200848,2,1,Galicia 1857,Galicia 1857,Jardín de Infantes Nucleado C (EPCjs 13/07°),JIN C-02 (13),C1416,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,1,7,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,1,99958.22225,102007.3529,#N/A,Inicial Común
200363,20014000,200140,0,1,Galicia 1857,Galicia 1857,Esc. Primaria Común N° 13 Leopoldo Marechal,EPjs 13,C1416,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,1,7,11,VILLA GRAL. MITRE,01 - HOSP ALVAREZ,1,99958.22225,102007.3529,#N/A,Primario Común
200364,20126400,201264,0,1,Felipe Vallese 835,Felipe Vallese 835,Esc. Primaria Común N° 14 Dr. Ernesto E. Padilla,EPjc 14,C1405,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,7,6,CABALLITO,03 - HOSP DURAND,1,101581.2476,101859.2847,#N/A,Primario Común
200365,20170602,201706,2,1,Dr. Eleodoro Lobos 437,Dr. Eleodoro Lobos 437,Jardín de Infantes Nucleado B (EPCjc 15/07°) La Veleta de Caballito,JIN B-02 (15),C1405,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,1,7,6,CABALLITO,03 - HOSP DURAND,1,102428.2646,101871.2492,#N/A,Inicial Común
200365,20137500,201375,0,1,Dr. Eleodoro Lobos 437,Dr. Eleodoro Lobos 437,Esc. Primaria Común N° 15 Gral. José Gervasio de Artigas,EPjc 15,C1405,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,7,6,CABALLITO,03 - HOSP DURAND,1,102428.2646,101871.2492,#N/A,Primario Común
200366,20220100,202201,0,1,Cnel. Apolinario Figueroa 651,Luis Viale 676,Jardín de Infantes Integral N° 06/07°,JII 06/07,C1416,IniCom,Nivel Inicial Común,JII,Jardín de Infantes Integral,Dirección de Educación Inicial,1,7,15,VILLA CRESPO,03 - HOSP DURAND,1,101267.2718,102582.298,#N/A,Inicial Común
200366,20127200,201272,0,1,Cnel. Apolinario Figueroa 651,Cnel. Apolinario Figueroa 661,Esc. Primaria Común N° 16 Andrés Ferreyra,EPjc 16,C1416,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,7,15,VILLA CRESPO,03 - HOSP DURAND,1,101267.2718,102582.298,#N/A,Primario Común
200063,20290700,202907,0,1,Avda. Gral. Las Heras 2670,Avda. Gral. Las Heras 2670,Escuela Infantil N° 08/01°,EI 08/01,C1425,IniCom,Nivel Inicial Común,EI,Escuela Infantil,Dirección de Educación Inicial,1,1,2,RECOLETA,04 - HOSP FERNANDEZ,1,105720.0346,104975.8972,#N/A,Inicial Común
200512,20053300,200533,0,1,La Pampa 3855,La Pampa 3855,Esc. Primaria Común N° 18 José Hernández,EPjc 18,C1430,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,10,12,VILLA URQUIZA,07 - HOSP PIROVANO,1,99449.39192,106283.3746,#N/A,Primario Común
200367,20137203,201372,3,1,Julián Alvarez 240,Julián Alvarez 240,Jardín de Infantes Nucleado A (EPCjc 17/07°),JIN A-03 (17),C1414,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,1,7,15,VILLA CRESPO,03 - HOSP DURAND,1,102250.8059,103097.7664,#N/A,Inicial Común
200367,20075800,200758,0,1,Julián Alvarez 240,Julián Alvarez 240,Esc. Primaria Común N° 17 Francisco de Vitoria,EPjc 17,C1414,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,7,15,VILLA CRESPO,03 - HOSP DURAND,1,102250.8059,103097.7664,#N/A,Primario Común
200374,20135700,201357,0,1,José Juan Biedma 459,José Juan Biedma 459,Esc. Primaria Común N° 24 Virgen Generala,EPjc 24,C1405,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,7,6,CABALLITO,01 - HOSP ALVAREZ,1,100900.205,101160.3133,#N/A,Primario Común
200375,20126500,201265,0,1,Méndez de Andés 1451,Méndez de Andés 1451,Esc. Primaria Común N° 25 República de Guatemala,EPjc 25,C1406,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,7,6,CABALLITO,01 - HOSP ALVAREZ,1,100745.2096,101344.3198,#N/A,Primario Común
200377,20137100,201371,0,1,Campichuelo 100,Campichuelo 100,Jardín de Infantes Común N° 02/07° Prof. Marina Margarita Ravioli,JIC 02/07,C1405,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,1,7,6,CABALLITO,03 - HOSP DURAND,1,102677.2566,101566.2386,#N/A,Inicial Común
200378,20173000,201730,0,1,Juan B. Ambrosetti 699,Juan B. Ambrosetti 699,Jardín Maternal N° 05/07° Jacarandá,JM 05/07,C1405,IniCom,Nivel Inicial Común,JM,Jardín Maternal,Dirección de Educación Inicial,1,7,6,CABALLITO,03 - HOSP DURAND,1,102248.2724,102141.2568,#N/A,Inicial Común
200379,20140500,201405,0,1,Avda. Díaz Vélez 4659,Eduardo Acevedo 609,Jardín de Infantes Integral N° 01/07° Andres Ferreyra,JII 01/07,C1405,IniCom,Nivel Inicial Común,JII,Jardín de Infantes Integral,Dirección de Educación Inicial,1,7,6,CABALLITO,03 - HOSP DURAND,1,102737.2904,102344.2362,#N/A,Inicial Común
200380,20135200,201352,0,1,Avda. Rivadavia 5161,Avda. Rivadavia 5161,Colegio N° 17 Primera Junta,Col 17,C1424,SecCom,Nivel Secundario Común,COL,Colegio,Dirección de Educación Media,1,7,6,CABALLITO,03 - HOSP DURAND,1,102214.2316,101187.2581,#N/A,Secundario Común
200380,20075600,200756,0,1,Avda. Rivadavia 5161,Avda. Rivadavia 5161,Esc. de Comercio N° 23 Dr. Luis Agote,EC 23,C1424,SecCom,Nivel Secundario Común,EC,Escuela de Comercio,Dirección de Educación Media,1,7,6,CABALLITO,03 - HOSP DURAND,1,102214.2316,101187.2581,#N/A,Secundario Común
200123,20245834,202458,34,1,Chile 1626,Chile 1626,Primera Infancia Chile,PI 34,C1100,OSECom,Otros Servicios Educativos de la modalidad Común,PI,Primera Infancia,Subsecretaría de Coordinación Pedagógica y Equidad Educativa,1,3,1,MONTSERRAT,08 - HOSP RAMOS MEJIA,1,106713.3291,101424.0691,#N/A,Otros Servicios Educativos de la modalidad Común
200865,20227800,202278,0,1,Mom 2358,Mom 2358,Esc. Primaria Común N° 22 Juana Azurduy,EPjs 22,C1437,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,1,19,4,NUEVA POMPEYA,06 - HOSP PIÑERO,1,102769.1155,98163.23438,#N/A,Primario Común
200381,20087600,200876,0,1,Gral. Martín de Gainza 1050,Gral. Martín de Gainza 1050,Esc. Técnica N° 09 Ing. Luis A. Huergo,ET 09,C1405,SecCom,Nivel Secundario Común,TEC,Escuela Técnica,Dirección de Educación Técnica,1,7,6,CABALLITO,03 - HOSP DURAND,1,101468.2651,102330.2895,#N/A,Secundario Común
200827,20245835,202458,35,1,Gallardo 149,Gallardo 149,Primera Infancia Luz de Luna,PI 35,C1408,OSECom,Otros Servicios Educativos de la modalidad Común,PI,Primera Infancia,Subsecretaría de Coordinación Pedagógica y Equidad Educativa,1,18,9,LINIERS,11 - HOSP VELEZ SARSFIELD,1,94408.22509,99112.91105,#N/A,Otros Servicios Educativos de la modalidad Común
200382,20126700,201267,0,1,Avda. Gaona 1502,Avda. Gaona 1502,Esc. Superior de Comercio N° 03 Hipólito Vieytes,ESC 03,C1416,SecCom - SecAdu,Nivel Secundario Común y Secundario de Jóvenes y Adultos,EC,Escuela de Comercio,Dirección de Educación Media,1,7,6,CABALLITO,01 - HOSP ALVAREZ,1,101168.2549,102225.3021,#N/A,Secundario Común - Secundario de Jóvenes y Adultos
200002,20113200,201132,0,1,Avda. Pte. Manuel Quintana 31,Avda. Pte. Manuel Quintana 7,Jardín de Infantes Común N° 04/01° Cinco Esquinas,JIC 04/01,C1014,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,1,1,1,RETIRO,04 - HOSP FERNANDEZ,1,107142.452,104152.0514,#N/A,Inicial Común
200383,20036600,200366,0,1,Juan B. Ambrosetti 601,Juan B. Ambrosetti 601,Esc. Superior de Enfermería Dra. Cecilia Grierson sede,IES C Grierson (s),C1405,SNUCom - OSEAdu,Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,IES,Instituto de Educación Superior (Formación Técnica),Dirección de Educación Técnica Superior,1,7,6,CABALLITO,03 - HOSP DURAND,1,102266.2696,102068.256,#N/A,Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos
200387,20202900,202029,0,1,Bogotá 115,Bogotá 115,Centro de Formación Profesional N° 16 (sede) - SGBATOS,CFP 16 SGBATOS (s),C1405,OSECom - OSEAdu,Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos,CFP,Centro de Formación Profesional,Gerencia Operativa de Formación Profesional,1,7,6,CABALLITO,03 - HOSP DURAND,1,102710.1483,101855.0835,#N/A,Otros Servicios Educativos de la modalidad Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos
200388,20201900,202019,0,1,Rawson 42,Rawson 42,Centro de Formación Profesional N° 17 Ing. Cesar M. Polledo - UOCRA,CFP 17 UOCRA,C1182,OSECom - OSEAdu,Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos,CFP,Centro de Formación Profesional,Gerencia Operativa de Formación Profesional,1,7,5,ALMAGRO,03 - HOSP DURAND,1,103412.8725,101907.3167,#N/A,Otros Servicios Educativos de la modalidad Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos
202437,20299100,202991,0,1,Zuviría 6620,Zuviría 6620,Escuela Infantil N° 11/20°,EI 11/20,C1439,IniCom,Nivel Inicial Común,EI,Escuela Infantil,Dirección de Educación Inicial,1,20,8,VILLA LUGANO,09 - HOSP SANTOJANNI,1,97317.7217,95011.60578,#N/A,Inicial Común
200400,20088400,200884,0,1,Avda. Eva Perón 1502,Avda. Eva Perón 1502,Esc. Primaria Común N° 01 Chacabuco,EPjc 01,C1406,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,8,7,PARQUE CHACABUCO,06 - HOSP PIÑERO,1,101575.1507,99555.28476,#N/A,Primario Común
200401,20038000,200380,0,1,Santander 1150,Santander 1150,Esc. Primaria Común N° 02 Tomás Santa Coloma,EPjc 02,C1424,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,8,7,PARQUE CHACABUCO,06 - HOSP PIÑERO,1,102436.1585,99344.24854,#N/A,Primario Común
200567,20132500,201325,0,1,Baldomero Fernández Moreno 3652,Baldomero Fernández Moreno 3652,Jardín de Infantes Nucleado A (EPCjc 20/11°) [Sede] Baldomero Fernández Moreno,JIN A-00 (20),C1407,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,1,11,9,PARQUE AVELLANEDA,06 - HOSP PIÑERO,1,99402.05461,98274.37582,#N/A,Inicial Común
200567,20166200,201662,0,1,Baldomero Fernández Moreno 3652,Baldomero Fernández Moreno 3652,Esc. Primaria Común N° 20 Antonio Alice,EPjc 20,C1407,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,11,9,PARQUE AVELLANEDA,06 - HOSP PIÑERO,1,99402.05461,98274.37582,#N/A,Primario Común
200579,20132501,201325,1,1,Mariano Acosta 1071,Mariano Acosta 1071,Jardín de Infantes Nucleado A (EPCjs 21/11°)  Baldomero Fernández Moreno,JIN A-01 (21),C1407,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,1,11,9,PARQUE AVELLANEDA,06 - HOSP PIÑERO,1,99166.06306,98585.38572,#N/A,Inicial Común
200579,20078000,200780,0,1,Mariano Acosta 1071,Mariano Acosta 1071,Esc. Primaria Común N° 21 Maria Sklodowska de Curie,EPjs 21,C1407,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,1,11,9,PARQUE AVELLANEDA,06 - HOSP PIÑERO,1,99166.06306,98585.38572,#N/A,Primario Común
200714,20042700,200427,0,1,Tronador 2861,Tronador 2861,Jardín de Infantes Integral N° 02/15° Juan M. Coghlan,JII 02/15,C1430,IniCom,Nivel Inicial Común,JII,Jardín de Infantes Integral,Dirección de Educación Inicial,1,15,12,COGHLAN,07 - HOSP PIROVANO,1,98537.4141,107234.413,#N/A,Inicial Común
200714,20154100,201541,0,1,Tronador 2861,Tronador 2861,Esc. Primaria Común N° 15 Manuel Antonio Acevedo,EPjc 15,C1430,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,15,12,COGHLAN,07 - HOSP PIROVANO,1,98537.4141,107234.413,#N/A,Primario Común
200629,20144000,201440,0,1,Olíden 2851,Olíden 2855,Jardín de Infantes Común N° 01/13°,JIC 01/13,C1439,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,1,13,8,VILLA LUGANO,09 - HOSP SANTOJANNI,1,97532.92629,96086.45404,#N/A,Inicial Común
200715,20129400,201294,0,1,Avda. Triunvirato 4247,Avda. Triunvirato 4247,Esc. Primaria Común N° 16 Ejército de Los Andes,EPjs 16,C1431,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,1,15,12,VILLA URQUIZA,10 - HOSP TORNU,1,98357.3485,105754.4205,#N/A,Primario Común
200716,20070603,200706,3,1,José Pascual Tamborini 5324,José Pascual Tamborini 5324,Jardín de Infantes Nucleado A (EPCjs 17/15°),JIN A-03 (17),C1431,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,1,15,12,VILLA URQUIZA,07 - HOSP PIROVANO,1,97109.37183,106888.473,#N/A,Inicial Común
200716,20020800,200208,0,1,José Pascual Tamborini 5324,José Pascual Tamborini 5324,Esc. Primaria Común N° 17 Gauchos de Güemes,EPjs 17,C1431,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,1,15,12,VILLA URQUIZA,07 - HOSP PIROVANO,1,97109.37183,106888.473,#N/A,Primario Común
200717,20105003,201050,3,1,Arias 4763,Arias 4763,Jardín de Infantes Nucleado C (EPCjs 18/15°),JIN C-03 (18),C1430,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,1,15,12,SAAVEDRA,07 - HOSP PIROVANO,1,97007.12964,108606.2544,#N/A,Inicial Común
200717,20082600,200826,0,1,Arias 4763,Arias 4763,Esc. Primaria Común N° 18 Juan B. Terán,EPjs 18,C1430,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,1,15,12,SAAVEDRA,07 - HOSP PIROVANO,1,97007.12964,108606.2544,#N/A,Primario Común
200718,20098800,200988,0,1,Rogelio Yrurtia 5806,Rogelio Yrurtia 5806,Jardín de Infantes Común N° 01/15°,JIC 01/15,C1431,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,1,15,12,SAAVEDRA,07 - HOSP PIROVANO,1,96371.89497,107362.9966,#N/A,Inicial Común
200719,20072600,200726,0,1,Mariano Acha 2250,Mariano Acha 2250,Esc. Primaria Común N° 21 Lic. Justo José Nuñez,EPjc 21,C1430,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,15,12,VILLA URQUIZA,07 - HOSP PIROVANO,1,98660.38017,106368.4078,#N/A,Primario Común
200720,20023000,200230,0,1,José Pascual Tamborini 3948,José Pascual Tamborini 3948,Esc. Primaria Común N° 22 Felix de Azara,EPjc 22,C1430,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,1,15,12,COGHLAN,07 - HOSP PIROVANO,1,98400.42863,107642.4188,#N/A,Primario Común
200572,20061200,200612,0,1,Avda. Juan Bautista Alberdi 1845,Avda. Juan Bautista Alberdi 1845,Esc. Técnica N° 05 María de los Remedios de Escalada de San Martin,ET 05,C1406,SecCom,Nivel Secundario Común,TEC,Escuela Técnica,Dirección de Educación Técnica,1,11,7,FLORES,06 - HOSP PIÑERO,1,100720.1569,100098.3207,#N/A,Secundario Común
200573,20119300,201193,0,1,Varela 1425,Varela 1425,Escuela Infantil N° 04/11°,EI 04/11,C1406,IniCom,Nivel Inicial Común,EI,Escuela Infantil,Dirección de Educación Inicial,1,11,7,FLORES,06 - HOSP PIÑERO,1,100836.675,98369.48849,#N/A,Inicial Común
200574,20107900,201079,0,1,Avda. Carabobo 286,Avda. Carabobo 286,Esc. Técnica N° 18 José Antonio Alvarez Condarco,ET 18,C1406,SecCom,Nivel Secundario Común,TEC,Escuela Técnica,Dirección de Educación Técnica,1,11,7,FLORES,06 - HOSP PIÑERO,1,100726.1509,99954.32046,#N/A,Secundario Común
